quiz_question_id,quiz_id,question_no,question,option_a,option_b,option_c,option_d,correct_ans,level,type,redirect_to,question_image,question_icon,msg_ans_correct,msg_ans_wrong,status,created_by,created_at,updated_by,updated_at,ar_image_ans_correct,ar_video_ans_correct,accimg_ans_correct,ar_image_ans_wrong,ar_video_ans_wrong,accimg_ans_wrong
11,2,1,"Were you able to finish the Workbook for Module 3?","Yes, it was fun and we learnt a lot","Yes, but it was confusing and we did not like it","We only finished some pages","We don't know what the workbook is","Yes, it was fun and we learnt a lot",HARD,MRQ,0,,,"Great! The workbook will help you to practice what you learnt and use it to find your own problem and solve them. ","The workbook has many different activities! It'll be great if you go do them! You can download the workbook from the beginning of the course or the resource section. You can take your teacher's help if you want and practice what you learnt. Use it to find your own problem and solve them!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
12,2,2,"Do you remember reading about Riya's Smart Cane solution for old people. Which of the Problem Finding Questions below helped Riya understand if it is a problem? Tick the right option.","Is it wasting or polluting any resources on the planet?","Is it causing harm to any living being?","Is it creating difficulty or stopping any member of the community from leading a better life?","All of them","Is it creating difficulty or stopping any member of the community from leading a better life?",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/2_2.png,,"You are right! By asking this question in a situation, she identified a problem that needs to be solved. ","That's not right. The right answer is C. What the old people are facing is a problem because it is creating difficulty and stopping them from leading a better life.  ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
13,2,3,"Match Column A to Column B","A-3
B-2
C-4
D-1","A-1
B-4
C-2
D-3","A-2
B-4
C-3
D-1","A-3
B-4
C-1
D-2","A-3
B-2
C-4
D-1",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/2_3.png,,"Great! You remember the problem finding tools correctly! Keep practising them around you to find more problems. ","That's not correct. The correct answer is  A. You can watch the videos again to properly understand each of the tools. This will also help you in finding more problems later.",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
14,2,4,"Lilo found some problems from different sources. Which of the following  should not be selected as a problem to solve?","Heard teacher's interview about lack of funds to build a playground.","Studied about various man-made disasters in textbook","Saw a movie about disease faced by people living in caves.","Read in the newspaper about pest attacks on farms","Saw a movie about disease faced by people living in caves.",HARD,MRQ,0,,,"You are right! You can find problems in many different ways using many tools but usually movies are not a proper source of information because they might be showing situations that are not real or happening right now. ","That's not right. The right answer is C.  Movie might give us information about people who lived in caves years ago but those are not problems that need to be solved now. Usually movies are not a proper source of information because they might be showing situations that are not real. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
15,2,5,"Rohan was talking to a friend who goes to play in the park. He found out that mosquitoes biting was a huge problem that his friend and others faced everyday. 
Which of the following problem finding techniques did Rohan use?",Interview,Observation,Experience,Research,Interview,HARD,MRQ,0,,,"Great! By asking someone about the problems they have faced, you are using the tool of interview to find a problem. ","You got that wrong. The right answer is Interview. Talking to someone to find out about a problem is Interviewing. Deepthi used this tool to find the problem faced by her friend. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
16,2,6,"Where will you observe this problem?

'People find it difficult to lift hot and heavy utensils from the stove using their hands.'
Tick all that are true.","Road Crossing ","River & Lakes",Houses,Restaurants,Houses{{}}Restaurants,HARD,MCQ,0,,,"That's right. Some problems can only be observed in some places . So going around your community and looking for different problems is important. ","That's not correct. The right answer is Houses and Restaurants. Some problems can only be observed in some places . So going around your community and looking for problems is important. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
17,2,7,"Sania is a short girl and she finds it very difficult to write on the top part of the blackboard. Which tool do you think helped Sania identify the problem?",Experience,Interview,Observation,Research,Experience,HARD,MRQ,0,,,"You are right. Sania identified this problem based on her experiences. To use experience as a problem finding tool you have to carefully think of the various activities you have done.  ","That's not right. The right answer is A. Since she has experienced the problem, it helped her to identify the problem faster. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
18,2,8,"Which of these elements is not there in a community map?",People,Places,"New Solutions",Problems,"New Solutions",HARD,MRQ,0,,,"Great. You are right, community map can help you find problems but they don't have final solutions marked on them. ","You got that wrong. The right answer is C. A community map has People, Places and Problems marked on it but it'll not have final solutions.",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
19,2,9,"Match Column A to Column B","A-3
B-2
C-4
D-1","A-1
B-4
C-3
D-2","A-3
B-4
C-1
D-2","A-1
B-4
C-2
D-3","A-1
B-4
C-2
D-3",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/2_9.png,,"Nice. You are right. The PEAK criteria helps you select and finalise on which problem to solve. ","You got that wrong. The right answer is D. To understand the PEAK criteria better you can watch the videos again. It will help you to select and finalise a problems to solve. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
20,2,10,"If two different problems have same final score in PEAK, how will you select your final problem?","Find new problems and score again ","Change the scores and count again","Discuss with your group and select one","Solve both problems  together","Discuss with your group and select one",HARD,MRQ,0,,,"Great! Discussing in your group is always important to make final decisions while selecting a problem. ","That's not right. The right answer is Option C. Discussing in your group is always important to make final decisions while selecting. You should not try to solve all problems at once. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
21,3,1,"Were you able to finish the Workbook for Module 4?","Yes, it was fun and we learnt a lot","Yes, but it was confusing and we did not like it","We only finished some pages","We don't know what the workbook is","Yes, it was fun and we learnt a lot",HARD,MRQ,0,,,"Great! The workbook will help you to practice what you learnt and use it to find your own problem and solve them. ","The workbook has many different activities! It'll be great if you go do them! You can download the workbook from the beginning of the course or the resource section. You can take your teacher's help if you want and practice what you learnt. Use it to find your own problem and solve them!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
22,3,2,"Stakeholder mapping helps us find people who _________. 
Pick all that are true. ","can help us understand the problem better","have faced or solved the same problem before","have knowledge or authority to solve the problem","can solve the problem instead of us","can help us understand the problem better{{}}have faced or solved the same problem before{{}}have knowledge or authority to solve the problem",HARD,MCQ,0,,,"You got that right. Stakeholder Map helps you in finding people who are part of the problem in many ways. ","You got that wrong. The right answer is A,B and C. Stakeholder Map helps you in finding people who are part of the problem in many ways or know about the problem. But you can't use to find people who can solve the problem for you. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
23,3,3,"Match the stakeholders to their category","A-1
B-2
C-3","A-2
B-3
C-1","A-3
B-2
C-1","A-3
B-1
C-2","A-2
B-3
C-1",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/3_3.png,,"Good. You are right. There are different types of stakeholders as part of a problem. ","That's not right. The right answer is B. There a 3 different types of Stakeholders and each can give you different information about a problem. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
24,3,4,"Sara and team observed the following effect : 
'A lot of young student's eyes are getting infected in their school'

Which of the following can be the cause of the problem?","Teachers scolding students","Eating too many sweets","Not washing their hands regularly","Lack of doctors in hospital. ","Not washing their hands regularly",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/3_4.png,,"That's right. Not washing hands is the cause most related to the effect.  ","That's Wrong.The answer is C. Not washing hands is most related to the effect. The other are not related to the effect. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
25,3,5,"Given is the problem tree for the problem of 'clothes in garbage'. What is wrong with the problem tree? ","Causes are not connected to the problem","Root causes are in the wrong place","The tree used is wrong.","Causes and Effects are exchanged","Causes and Effects are exchanged",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/3_5.png,,"You are right. The cause should be at the roots and the effects should be on the leaves.  ","You are wrong. The right answer is D. The cause and effect are exchanged. The cause should be at the roots and the effects should be on the leaves.  ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
26,3,6,"Look at the mind map made by the team. Which stakeholder can give you correct information about the types of medical waste?","Ambulance Driver",Nurse,Patient,Watchman,Nurse,HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/3_6.png,,"You are correct. The stakeholder most related to medical waste is Nurses and they'll be able to tell you more about the types of medical waste. ","That's incorrect. The stakeholder most related to medical waste is Nurses. They'll be able to tell you more about the types of medical waste. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
27,3,7,"What can happen if the team had not used the Why's technique and tried to solve the problem of textile waste?","They could be solving something that is not really the main problem","Problem will be completely solved because the root cause is solved. ","They will not solve the root cause and the problem wil not be compeltely solved","Effects of the problem will continue to increase and they won't reach their desired goal","They could be solving something that is not really the main problem{{}}They will not solve the root cause and the problem wil not be compeltely solved{{}}Effects of the problem will continue to increase and they won't reach their desired goal",HARD,MCQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/3_7.png,,"Great! If you don't find the root cause using the Whys technique, your problem will still continue to exist in different ways which is why it is important to find the root cause. ","That's not right. The right answer is A,C and D. If you don't solve the root cause, your problem will still continue to exist in different ways which is why it is important to find the root cause and solve it.",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
28,3,8,"What could the next 'Why' question be for the following cause?
'people are always buying new water/juice bottles'","Why are people buying bottles?","Why are bottles so costly?","Why are the bottles easy to hold?","Why are the bottles made of glass?","Why are people buying bottles?",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/3_8.png,,"That's right! The next 'Why' questions will be based on the cause and help you get to the root cause. ","That's incorrect. The answer is A 'Why are people buying bottles?' 'Why questions' are related to the cause and help you get to the root cause. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
29,3,9,"Identify which of the elements are missing in the problem statement given below: 

'A lot of daily newspapers remain unsold at many shops. This is happening because people are reading/watching news on their mobiles instead of buying newspapers. This is creating a lot of paper wastage everyday.'","Current State","Desired State (or goal)",Cause(s),Effect(s),"Desired State (or goal)",HARD,MRQ,0,,,"That's right. The problem statement is missing the Desired State (of goal). ","That's not right. The right answer is B. The problem statement is missing the Desires State (or goal)",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
30,3,10,"Look at the problem statement that your team wrote in the workbook, tick all the parts that it has.
(Refer to Problem Statement page in your workbook)","Current State","Desired State (or goal)",Cause(s),Effect(s),"Current State{{}}Desired State (or goal){{}}Cause(s){{}}Effect(s)",HARD,MCQ,0,,,"It is important to have all the parts to make a good problem statement. A good problem statement explains your problem clearly and the goal you wish to achieve. ","If you don't have a all the parts, you should go and rewrite the problem statement so all parts are included. A good problem statement explains you problem clearly, the goal you wish to achieve and the cause and effect. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
31,4,1,"Were you able to finish the Workbook for Module 5?","Yes, it was fun and we learnt a lot","Yes, but it was confusing and we did not like it","We only finished some pages","We don't know what the workbook is","Yes, it was fun and we learnt a lot",HARD,MRQ,0,,,"Great! The workbook will help you to practice what you learnt and use it to find your own problem and solve them. ","The workbook has many different activities! It'll be great if you go do them! You can download the workbook from the beginning of the course or the resource section. You can take your teacher's help if you want and practice what you learnt. Use it to find your own problem and solve them!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
32,4,2,"What kind of solution is this? 

Idea : 'Books made out of old unused paper'

",Product,Process,Both,"None of these",Product,HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/4_2.png,,"You got that right! Books made out of old paper are product based solutions.  ","That's not right. The right answer is product. Books made out of old papers is a product based solution. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
33,4,3,"Match column A to column B  ","A-2
B-3
C-4
D-1","A-4
B-2
C-3
D-1","A-1
B-2
C-3
D-4","A-3
B-2
C-4
D-1","A-3
B-2
C-4
D-1",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/4_3.png,,"You got that right! Different brainstorming tools can give us different ideas for a solution. ","You got that wrong! The right answer is Option D. Different brainstorming tools can give us different ideas for a solution. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
34,4,4,"What kind of solution is this? 

Idea : 'A traffic police was appointed to control vehicles on a busy road to reduce traffic jams.

",Product,Process,Both,"None of these",Process,HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/4_4.png,,"That's correct. Traffic Police is a process based solution so reduce traffic jams. ","That's not correct. The answer is process. Traffic police is a process based solution to solve traffic.",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
35,4,5,"A problem can have only product based or process based solution but not both. Do you agree?","Yes, a problem can have only one type of solution. ","Some problems may have both types and some may have only one type.","No, all problems will have both types of solutions. ",,"Some problems may have both types and some may have only one type.",HARD,MRQ,0,,,"You are right. Depending on the problem, it may have both types of solutions or only one type. ","That's not right. The right answer is Option B. Depending on the problem, it may have both types of solutions or only one type. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
36,4,6,"Match column A to Column B  ","A-3
B-2
C-4
D-1","A-1
B-3
C-4
D-2","A-2
B-4
C-1
D-3","A-1
B-2
C-4
D-3","A-1
B-3
C-4
D-2",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/4_6.png,,"That's right. Using the FUSE criteria properly can help you select better solutions.  ","That's wrong. The right answer is option B. Using the FUSE criteria properly can help you select better solutions. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
37,4,7,"If two different ideas have same the final score in FUSE, how will you select your final idea?","Give new ideas and score again","Discuss in group and select one","Change the scores ","Select the one that has higher sustainability score. ","Discuss in group and select one",HARD,MRQ,0,,,"Great! Discussing in your group is always important to make final decisions about your solution. ","That's not right. The right answer is Option B. Discussing in your group is always important to make final decisions about your solution. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
38,4,8,"Which stakeholders can give useful feedback for this solution?
Tick all that are true.

Problem: Dry wood in the forest is catching fire
Idea : Set up a buzzer alarm when there is a fire.","Forest officer","Tribal community chief","Police station team",Shopkeepers,"Forest officer{{}}Tribal community chief",HARD,MCQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/4_8.png,,"Good! You got that right. Talking to the stakeholder most related to the problem and solution is the best way to get good feedback.","No. That's not right. The correct answer is Option A and B Talking to the stakeholder most related to the problem and solutions is the best way to get good feedback.",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
39,4,9,"The team shared the idea with people who travel. Which of the following feedback will make their idea better? 

Idea:  'A washing machine for travellers made from used metal sheets that works by using foot pedal .'
","A new washing machine not needed, they already exist","A way to add paints and color clothes while travelling","Add a feature to boil water to kill germs in clothes","Use old plastic buckets so that it is lighter to carry","Use old plastic buckets so that it is lighter to carry",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/4_9.png,,"That's right. When making changes based on feedback, you have to be careful to choose those that make the solution better and not make changes that might make the solution bad.  ","That's wrong. The best change you can make is Option D. When making changes based on feedback, you have to be careful to choose those that make the solution better and not make changes that might make the solution bad like the other options. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
40,4,10,"Which of these are NOT a part of the FUSE criteria to select your final idea?

Hint : 1 of these 4 options is wrong!",Feasibility,Usability,Sustainability,"Electric Based","Electric Based",HARD,MRQ,0,,,"Great! You are right, Electric is not a factor for selecting an idea. E stands for effectiveness. It shows if your idea is helping achieve the desired state in the problem statement.   ","That's not right. The right answer is Option C, Electric Based. In FUSE, E stands for Effectiveness and not electric based. Your solution doesn't have to be based on electricity to be a good idea. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
41,5,1,"Were you able to finish the Workbook for Module 6?","Yes, it was fun and we learnt a lot","Yes, but it was confusing and we did not like it","We only finished some pages","We don't know what the workbook is","Yes, it was fun and we learnt a lot",HARD,MRQ,0,,,"Great! The workbook will help you to practice what you learnt and use it to find your own problem and solve them. ","The workbook has many different activities! It'll be great if you go do them! You can download the workbook from the beginning of the course or the resource section. You can take your teacher's help if you want and practice what you learnt. Use it to find your own problem and solve them!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
42,5,2,"To make a prototype, what are some things you can start doing? 
Tick all that are true.","Buy real & expensive materials from different shops","Borrow money from teachers and neighbours. ","Find old & reusable materials from surroundings","Use natural resources like stick instead of pipe","Find old & reusable materials from surroundings{{}}Use natural resources like stick instead of pipe",HARD,MCQ,0,,,"Good work! You don't have to always buy new things or work very hard to find resources for prototyping. All you have to do is look around you and use whatever is available.","That's not right. The right answers are Options C & D. You don't have to always buy new things or work very hard to find resources for prototyping. All you have to do is look around you and use whatever is available. Don't spend money unnecessarily. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
43,5,3,"Match Column A to Column B ","A-3
B-2
C-4
D-1","A-3
B-1
C-2
D-4","A-4
B-2
C-3
D-1","A-1
B-2
C-4
D-3","A-3
B-2
C-4
D-1",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/5_3.png,,"Great! You got that right. Selecting the right prototype can help explain and test your idea. ","You got that wrong. The right answer is Option A. Selecting the right prototype can help explain and test your idea. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
44,5,4,"Banu and team made a physical prototype of solar car because they wanted others to see how it works. 

If they only want to show a model of how the solution looks, which prototype should they pick?","Physical Prototype",Mock-up,Storyboard,Roleplay,Mock-up,HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/5_4.png,,"Correct! Mock-Up prototype can be used when you only want to show how an idea looks and don't need to show how it works. ","That's wrong. The correct answer is Mock-Up. Mock-Up prototype can be used when you only want to show how an idea looks and don't need to show how it works. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
45,5,5,"Identify the type of prototype in the following picture. ","Physical Prototype",Mock-up,Storyboard,Roleplay,Storyboard,HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/5_5.png,,"Correct! This is a storyboard where you show how a solution works by drawing it out on panels like a story. The storyboard shows how cut resistant gloves will protect a carpenter. ","That's not right! This is a storyboard where you show how a solution works by drawing it out on panels like a story. The storyboard shows how cut resistant gloves will protect a carpenter. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
46,5,6,"Which of the following represents a paper prototype of a 'smart walking stick for the Blind'  ?        ",A,B,"Both photos","None of the above",B,HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/5_6.png,,"You are right! A paper prototype can be easily made by sketching the idea onto a paper. ","That's incorrect! The answer is option B. A paper prototype can be easily made by sketching the idea onto a paper. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
47,5,7,"Which of the following resources are required to make a storyboard prototype of this solution?

Idea : 'A sofa that can be changed into a bed  to save space in small houses.'
",Leather,Batteries,Wires,Paper,Paper,HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/5_7.png,,"Correct. To make a storyboard all you need is paper and a story about the problem and how your idea works!","That's not right. To make a storyboard all you need is paper and a story!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
48,5,8,"Which stakeholders can you do user testing with for this solution?
Pick all that are true.

Idea : 'Seed sowing shoes : A pair of shoes that can be used to easily plant seeds.'",Drivers,"Construction Labourers",Gardeners,Farmers,Gardeners{{}}Farmers,HARD,MCQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/5_8.png,,"That's right. When user testing, you have to test your solution with the final users so you get proper feedback of the solution directly from the users. ","That's right. When user testing, you have to test your solution with the final users so you get proper feedback of the solution directly from the users. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
49,5,9,"Which of the feedback can solve this and make the idea better?

Prototype : An adjustable weighing machine for animal hospitals.
User testing Feedback : Veterinary doctor (animal doctor) said that the animals get scared of the machine's noise.","Add place to tie the animals so they can't move. ","Make it more colorful and add sounds ","Add mirror and lights to the machine","Changing the materials used","Changing the materials used",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/5_9.png,,"Correct. When user testing, you can make specific changes to your solution based on what the user wants.  ","That's not right. The right answer is Option D. When user testing, you can make specific changes to your solution based on what the user wants.  ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
