course_topic_id,course_module_id,topic_type_id,topic_type,title,status,created_by,created_at,updated_by,updated_at
21,6,21,VIDEO,"Crafting Your Story",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
22,6,22,VIDEO,"Marketing Your Venture",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
23,6,23,VIDEO,"Pitching to Investors",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
24,6,24,VIDEO,"Launching Your Venture",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
25,6,25,VIDEO,"Scaling and Sustaining Growth",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
26,6,2,WORKSHEET,Congratulations,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
27,7,1,VIDEO,"What is Innovation?",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
28,7,2,VIDEO,"The Innovative Mindset",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
29,7,3,VIDEO,"The Innovation Process",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
30,7,4,VIDEO,"Innovation in Action",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
31,8,5,VIDEO,"Identifying Problems",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
32,8,6,VIDEO,"Turning Problems into Opportunities",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
33,8,7,VIDEO,"Crafting a Value Proposition",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
34,8,8,VIDEO,"Opportunity Validation",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
35,9,9,VIDEO,"Generating Ideas",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
36,9,10,VIDEO,"From Ideas to Concepts",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
37,9,11,VIDEO,"Rapid Prototyping",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
38,9,12,VIDEO,"Testing and Iteration",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
39,10,13,VIDEO,"Validating Your Idea",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
40,10,14,VIDEO,"Understanding Your Market",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
41,10,15,VIDEO,"Defining Your Business Model",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
42,10,16,VIDEO,"Developing a Minimum Viable Product (MVP)",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
43,11,17,VIDEO,"Building Your Team",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
44,11,18,VIDEO,"Creating an Action Plan",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
45,11,19,VIDEO,"Financial Planning Basics",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
46,11,20,VIDEO,"Legal and Ethical Considerations",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
47,12,21,VIDEO,"Crafting Your Story",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
48,12,22,VIDEO,"Marketing Your Venture",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
49,12,23,VIDEO,"Pitching to Investors",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
50,12,24,VIDEO,"Launching Your Venture",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
51,12,25,VIDEO,"Scaling and Sustaining Growth",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
52,12,2,WORKSHEET,Congratulations,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
